respondent_id,age_group,income_bracket,primary_language,insurance_knowledge_score,digital_trust_score,smartphone_usage_hrs,has_insurance,can_locate_exclusions,preferred_communication,previous_claim_experience,interview_transcript_snippet
R001,26-35,upper_middle,english,3,1,2.6,True,False,voice_message,no,Documents are lengthy and confusing. Need simpler explanations. Can't find where exclusions are mentioned.
R002,18-25,middle,hindi,1,5,2.6,True,True,in_person,no,"मोबाइल से जानकारी मिले तो अच्छा रहेगा, लेकिन सरल भाषा में। बीमा की बुनियादी बातें भी समझ नहीं आतीं।"
R003,18-25,low,marathi,1,5,2.6,True,False,in_person,no,मला माझ्या विम्याच्या धोरणात नेमकं काय आहे हे समजत नाही. डॉक्टरकडे गेल्यावर नेहमी खर्च वाढतो. Even basic insurance concepts are unclear. exclusions कहाँ हैं पता नहीं चलता।
R004,36-45,low,hindi,3,1,0.0,True,False,text_message,no,"मोबाइल से जानकारी मिले तो अच्छा रहेगा, लेकिन सरल भाषा में। exclusions कहाँ हैं पता नहीं चलता।"
R005,26-35,lower_middle,marathi,3,1,2.6,True,True,text_message,no,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत.
R006,46-55,lower_middle,hindi,1,1,0.0,True,False,in_person,no,दस्तावेज़ बहुत लंबे हैं और कठिन भाषा में हैं. आसान समझ चाहिए। बीमा की बुनियादी बातें भी समझ नहीं आतीं। exclusions कहाँ हैं पता नहीं चलता।
R007,56+,lower_middle,marathi,1,1,0.0,True,False,in_person,yes,माझ्या मुलांना इंग्रजी येते पण मला मराठीत समजावंसं वाटतं. Even basic insurance concepts are unclear. exclusions कहाँ हैं पता नहीं चलता।
R008,46-55,middle,english,1,1,2.6,False,False,in_person,yes,Would prefer voice messages in my regional language for better understanding. Even basic insurance concepts are unclear. Can't find where exclusions are mentioned.
R009,36-45,lower_middle,english,1,3,2.6,False,False,text_message,no,Documents are lengthy and confusing. Need simpler explanations. Even basic insurance concepts are unclear. Can't find where exclusions are mentioned.
R010,36-45,lower_middle,english,1,1,0.0,True,False,voice_message,no,Would prefer voice messages in my regional language for better understanding. Even basic insurance concepts are unclear. Can't find where exclusions are mentioned.
R011,36-45,lower_middle,marathi,5,3,2.6,False,False,in_person,yes,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत. I understand some parts but not completely. exclusions कहाँ हैं पता नहीं चलता।
R012,46-55,low,marathi,1,5,2.6,True,True,in_person,no,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत. Even basic insurance concepts are unclear.
R013,36-45,lower_middle,marathi,1,1,4.5,True,False,text_message,no,मला माझ्या विम्याच्या धोरणात नेमकं काय आहे हे समजत नाही. डॉक्टरकडे गेल्यावर नेहमी खर्च वाढतो. Even basic insurance concepts are unclear. exclusions कहाँ हैं पता नहीं चलता।
R014,26-35,low,english,3,1,4.5,True,False,voice_message,yes,I don't understand the exclusions in my policy. The language is too technical. Can't find where exclusions are mentioned.
R015,36-45,lower_middle,english,1,3,2.6,True,False,in_person,no,I don't understand the exclusions in my policy. The language is too technical. Even basic insurance concepts are unclear. Can't find where exclusions are mentioned.
R016,36-45,lower_middle,english,1,5,2.6,True,True,voice_message,no,Would prefer voice messages in my regional language for better understanding. Even basic insurance concepts are unclear.
R017,46-55,middle,marathi,1,5,2.6,True,False,text_message,no,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत. Even basic insurance concepts are unclear. exclusions कहाँ हैं पता नहीं चलता।
R018,56+,middle,marathi,3,5,2.6,True,False,in_person,no,मला माझ्या विम्याच्या धोरणात नेमकं काय आहे हे समजत नाही. डॉक्टरकडे गेल्यावर नेहमी खर्च वाढतो. exclusions कहाँ हैं पता नहीं चलता।
R019,46-55,low,marathi,3,5,4.5,True,False,text_message,no,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत. exclusions कहाँ हैं पता नहीं चलता।
R020,36-45,lower_middle,marathi,5,5,2.6,True,False,voice_message,no,मला माझ्या विम्याच्या धोरणात नेमकं काय आहे हे समजत नाही. डॉक्टरकडे गेल्यावर नेहमी खर्च वाढतो. I understand some parts but not completely. exclusions कहाँ हैं पता नहीं चलता।
R021,18-25,lower_middle,marathi,1,3,2.6,True,False,voice_message,no,विम्याचे कागदपत्री काम खूप आहे. मला तपशीलवार माहिती हवी आहे पण सोप्या भाषेत. Even basic insurance concepts are unclear. exclusions कहाँ हैं पता नहीं चलता।
R022,26-35,upper_middle,marathi,5,3,4.5,True,False,voice_message,no,मला माझ्या विम्याच्या धोरणात नेमकं काय आहे हे समजत नाही. डॉक्टरकडे गेल्यावर नेहमी खर्च वाढतो. I understand some parts but not completely. exclusions कहाँ हैं पता नहीं चलता।
R023,36-45,lower_middle,english,1,5,2.6,True,False,text_message,no,I don't understand the exclusions in my policy. The language is too technical. Even basic insurance concepts are unclear. Can't find where exclusions are mentioned.
R024,26-35,upper_middle,hindi,5,1,2.6,False,False,in_person,no,"मोबाइल से जानकारी मिले तो अच्छा रहेगा, लेकिन सरल भाषा में। कुछ तो समझ में आता है लेकिन पूरी जानकारी नहीं। exclusions कहाँ हैं पता नहीं चलता।"
